Herb_Name,Concentration,pH,TDS_ppm,ORP_mV,Temperature_C,Color_R,Color_G,Color_B,Potency
Chirayata,0.0,5.405,0.0,-11.58,24.52,210,254,213,Empty
Chirayata,0.0,5.828,5.3,29.92,24.83,228,246,219,Empty
Saindhava Lavana,0.0,7.514,1.84,5.69,27.27,218,211,251,Empty
Ashwagandha,0.0,7.066,1.83,12.6,25.93,239,200,255,Empty
Saindhava Lavana,0.0,7.172,0.0,8.65,24.9,255,222,255,Empty
Haldi,0.0,6.927,0.0,-1.26,21.43,255,238,240,Empty
Amla,0.0,3.929,5.13,9.61,24.12,255,255,249,Empty
Haldi,0.0,6.049,0.0,0.41,26.4,255,203,255,Empty
Mulethi,0.0,7.474,0.0,-0.88,25.89,255,225,199,Empty
Chirayata,0.0,6.795,0.0,11.83,24.82,255,255,235,Empty
Haldi,0.0,6.334,0.0,-33.38,28.66,255,208,255,Empty
Ashwagandha,0.0,6.484,0.0,9.45,24.66,255,250,199,Empty
Haldi,0.0,6.156,7.56,-16.87,23.76,238,255,255,Empty
Ashwagandha,0.0,6.902,0.0,-5.02,23.72,190,255,255,Empty
Amla,0.0,3.912,1.94,-2.43,26.47,231,241,230,Empty
Haldi,0.0,6.108,2.92,17.69,25.09,221,255,251,Empty
Saindhava Lavana,0.0,7.2,2.65,16.71,25.99,255,255,224,Empty
Haldi,0.0,5.281,7.96,-2.06,26.58,246,199,255,Empty
Mulethi,0.0,6.897,1.79,-14.31,24.57,199,255,199,Empty
Saindhava Lavana,0.0,7.038,0.0,-1.15,24.57,255,249,248,Empty
Saindhava Lavana,0.0,7.201,0.0,-9.14,26.3,201,246,208,Empty
Haldi,0.0,5.725,3.8,8.7,26.33,255,255,180,Empty
Saindhava Lavana,0.0,6.991,4.7,17.92,25.2,237,255,156,Empty
Mulethi,0.0,7.159,0.0,-5.27,25.21,255,186,255,Empty
Haldi,0.0,5.782,2.61,-14.46,25.55,148,198,240,Empty
Amla,0.0,3.852,3.97,6.41,23.8,255,234,250,Empty
Mulethi,0.0,6.709,10.68,-23.64,24.65,197,255,245,Empty
Ashwagandha,0.0,6.934,0.0,-2.8,24.13,157,255,239,Empty
Amla,0.0,4.398,0.0,-0.35,22.89,255,213,228,Empty
Mulethi,0.0,7.658,1.26,-7.91,24.01,221,173,255,Empty
Chirayata,1.5,4.894,668.38,168.36,25.79,33,66,2,High
Chirayata,1.5,5.526,535.9,262.3,24.36,31,54,0,High
Saindhava Lavana,1.5,7.027,775.67,103.62,25.31,255,255,255,High
Ashwagandha,1.5,6.531,350.62,125.17,25.0,245,171,93,High
Saindhava Lavana,1.5,6.707,798.98,38.96,23.17,206,216,235,High
Haldi,1.5,5.942,524.27,-71.21,25.1,251,204,29,High
Amla,1.5,3.352,148.54,-190.68,25.17,212,209,130,High
Haldi,1.5,5.357,395.06,-101.31,24.19,255,235,22,High
Mulethi,1.5,6.482,555.87,156.15,22.96,210,154,101,High
Chirayata,1.5,4.97,551.19,122.03,23.9,29,69,0,High
Haldi,1.5,5.485,560.61,-72.28,26.75,216,226,34,High
Ashwagandha,1.5,6.515,511.27,227.61,23.08,255,180,119,High
Haldi,1.5,5.18,381.23,-80.15,23.69,255,216,30,High
Ashwagandha,1.5,5.827,358.26,371.86,23.77,252,113,91,High
Amla,1.5,3.41,360.53,-284.89,25.0,156,255,83,High
Haldi,1.5,6.636,438.55,-97.83,26.94,237,178,16,High
Saindhava Lavana,1.5,6.478,1130.46,39.44,24.08,173,255,236,High
Haldi,1.5,5.979,696.29,-72.96,27.06,255,154,30,High
Mulethi,1.5,7.318,420.52,143.51,23.71,213,144,126,High
Saindhava Lavana,1.5,7.137,1029.54,31.97,27.1,243,217,255,High
Saindhava Lavana,1.5,6.867,1363.82,60.42,24.29,255,219,155,High
Haldi,1.5,5.755,322.11,-52.42,26.21,255,138,27,High
Saindhava Lavana,1.5,7.19,836.03,52.74,24.24,249,254,246,High
Mulethi,1.5,7.48,568.21,69.17,24.78,195,216,58,High
Haldi,1.5,5.517,495.74,-104.74,26.69,255,213,44,High
Amla,1.5,3.417,404.7,-288.24,25.67,177,255,138,High
Mulethi,1.5,7.519,452.24,113.31,25.03,209,146,123,High
Ashwagandha,1.5,6.48,384.54,218.15,24.69,177,208,95,High
Amla,1.5,2.657,182.1,-233.34,24.36,172,141,141,High
Mulethi,1.5,7.44,852.01,150.15,26.32,178,141,88,High
Chirayata,0.5,5.14,244.91,119.14,23.96,114,168,149,Low
Chirayata,0.5,6.139,213.84,107.23,26.12,146,191,227,Low
Saindhava Lavana,0.5,6.644,389.63,14.82,22.72,210,255,238,Low
Ashwagandha,0.5,6.051,129.31,104.08,25.13,255,215,170,Low
Saindhava Lavana,0.5,6.589,516.05,12.6,23.02,242,255,255,Low
Haldi,0.5,6.058,118.65,-21.29,25.36,229,255,174,Low
Amla,0.5,3.509,96.59,-67.51,22.44,157,237,231,Low
Haldi,0.5,5.766,204.96,10.48,23.67,255,185,184,Low
Mulethi,0.5,7.511,204.44,81.92,23.03,212,255,197,Low
Chirayata,0.5,5.068,144.17,60.83,24.14,218,176,200,Low
Haldi,0.5,5.244,116.14,7.08,25.74,255,141,189,Low
Ashwagandha,0.5,6.708,98.11,60.76,26.21,185,190,187,Low
Haldi,0.5,6.139,163.05,-22.99,29.36,255,255,214,Low
Ashwagandha,0.5,5.958,81.82,59.16,25.01,127,239,189,Low
Amla,0.5,3.337,91.1,-21.47,28.16,203,183,171,Low
Haldi,0.5,5.781,180.08,-9.62,25.31,255,254,156,Low
Saindhava Lavana,0.5,6.932,385.06,57.3,23.83,169,238,255,Low
Haldi,0.5,6.28,88.18,3.03,24.11,255,255,122,Low
Mulethi,0.5,7.378,275.31,109.11,25.16,189,169,182,Low
Saindhava Lavana,0.5,6.629,298.75,30.76,25.55,246,171,217,Low
Saindhava Lavana,0.5,7.559,340.32,13.34,23.87,222,255,255,Low
Haldi,0.5,5.885,191.38,-18.79,22.55,255,223,181,Low
Saindhava Lavana,0.5,7.287,447.59,3.16,23.24,250,255,236,Low
Mulethi,0.5,7.392,201.7,28.16,25.88,221,206,126,Low
Haldi,0.5,5.354,72.02,-27.26,26.05,149,192,180,Low
Amla,0.5,2.685,115.37,-113.08,24.65,189,255,224,Low
Mulethi,0.5,7.891,130.97,61.21,23.71,245,233,231,Low
Ashwagandha,0.5,6.751,117.96,74.29,22.87,249,185,155,Low
Amla,0.5,4.062,75.75,-50.46,24.24,168,255,235,Low
Mulethi,0.5,7.715,166.16,39.77,24.09,255,218,228,Low
Chirayata,1.0,5.469,401.56,265.3,25.38,82,123,69,Medium
Chirayata,1.0,5.428,497.15,193.49,25.34,115,120,92,Medium
Saindhava Lavana,1.0,7.069,1016.74,87.84,24.36,177,215,255,Medium
Ashwagandha,1.0,6.926,267.19,192.02,23.79,255,191,162,Medium
Saindhava Lavana,1.0,7.499,874.98,54.93,24.52,255,254,201,Medium
Haldi,1.0,5.101,375.52,-97.27,25.56,247,216,103,Medium
Amla,1.0,4.657,170.92,-104.63,25.27,174,194,208,Medium
Haldi,1.0,5.176,295.74,-24.21,26.34,217,167,102,Medium
Mulethi,1.0,7.063,584.46,139.06,23.55,216,170,132,Medium
Chirayata,1.0,5.428,425.83,186.07,23.13,112,118,85,Medium
Haldi,1.0,5.317,264.9,-20.12,26.12,194,204,90,Medium
Ashwagandha,1.0,6.625,183.6,194.76,25.33,208,193,134,Medium
Haldi,1.0,5.834,338.46,-41.46,24.19,203,185,119,Medium
Ashwagandha,1.0,6.343,360.18,185.37,25.15,208,248,151,Medium
Amla,1.0,3.257,207.04,-87.64,26.44,255,225,226,Medium
Haldi,1.0,6.147,289.68,-53.87,25.55,214,253,57,Medium
Saindhava Lavana,1.0,7.381,720.69,88.01,26.92,255,255,238,Medium
Haldi,1.0,6.108,195.82,-47.53,26.53,221,222,76,Medium
Mulethi,1.0,6.943,411.27,191.74,25.45,204,156,116,Medium
Saindhava Lavana,1.0,6.928,577.6,35.88,25.41,244,255,255,Medium
Saindhava Lavana,1.0,7.55,663.12,63.72,22.48,174,228,231,Medium
Haldi,1.0,5.196,167.88,-55.58,25.81,252,220,87,Medium
Saindhava Lavana,1.0,6.044,708.88,39.06,26.54,255,230,255,Medium
Mulethi,1.0,7.224,369.6,124.53,26.27,225,151,163,Medium
Haldi,1.0,5.81,301.47,-45.15,26.2,250,209,122,Medium
Amla,1.0,3.491,156.14,-157.82,25.11,182,255,203,Medium
Mulethi,1.0,6.934,476.19,105.49,25.07,212,170,124,Medium
Ashwagandha,1.0,6.234,248.51,153.67,25.49,255,223,176,Medium
Amla,1.0,3.883,281.64,-163.85,23.92,122,238,189,Medium
Mulethi,1.0,7.198,287.75,51.04,23.59,188,204,170,Medium
